id,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,SP,m_cap,m_bus,m_clock,capacity,generation,rpm(0)/read(1),cache(0)/write(1),score
143058,3.0,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,800.0,3.071,2.0,7200.0,16000.0,125349.0
143063,1.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,32.0,512.0,128.0,1400.0,2.557,2.0,7200.0,8000.0,128638.0
143066,3.16,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,80.0,512.0,64.0,800.0,6.144,2.0,7200.0,16000.0,96860.0
143074,3.0,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5000.0,4.095,2.0,7200.0,64000.0,134079.0
143075,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,112.0,512.0,256.0,1800.0,3.07,2.0,7200.0,8000.0,161362.0
143088,2.93,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,1800.0,8.192,2.0,7200.0,64000.0,132120.0
143089,2.93,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,1800.0,8.192,2.0,7200.0,64000.0,128801.0
143091,3.33,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,512.0,1536.0,384.0,4008.0,12.28,3.0,7200.0,32000.0,294094.0
143095,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,64.0,512.0,256.0,1800.0,3.3280000000000003,2.0,7200.0,16000.0,163984.0
143099,2.53,2.0,2.0,1.0,3000.0,0.0,0.0,0.0,0.0,4.0,32.0,128.0,332.0,3.04,1.0,5400.0,8000.0,100612.0
143107,2.93,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,1800.0,8.192,2.0,7200.0,64000.0,143830.0
143108,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,8.0,512.0,64.0,666.0,2.048,2.0,7200.0,16000.0,160110.0
143118,3.2,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,480.0,2048.0,128.0,4000.0,3.96,3.0,7200.0,16000.0,156841.0
143119,2.83,4.0,4.0,1.0,12000.0,0.0,0.0,0.0,0.0,800.0,1024.0,128.0,4800.0,8.192,2.0,7200.0,32000.0,175588.0
143131,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,120.0,256.0,128.0,1400.0,2.048,3.0,7200.0,16000.0,182400.0
143143,3.0,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,8.0,256.0,64.0,800.0,3.3280000000000003,2.0,7200.0,32000.0,95929.0
143149,3.0,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,480.0,1024.0,128.0,4000.0,8.192,1.0,5400.0,8000.0,44816.0
143165,2.0,2.0,2.0,1.0,512.0,0.0,0.0,0.0,0.0,80.0,512.0,64.0,800.0,3.325,2.0,7200.0,32000.0,79960.0
143174,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,17.0,256.0,128.0,1400.0,2.048,2.0,7200.0,8000.0,94695.0
143176,2.66,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,800.0,1024.0,128.0,4800.0,3.071,1.0,7200.0,16000.0,149374.0
143183,2.66,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,17.0,256.0,256.0,1000.0,3.3280000000000003,2.0,7200.0,8000.0,254753.0
143185,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,64.0,512.0,256.0,1800.0,1.963,3.0,7200.0,32000.0,272790.0
143188,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,64.0,64.0,400.0,3.327,1.0,7200.0,8000.0,45150.0
143196,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,24.0,512.0,256.0,1400.0,3.071,1.0,7200.0,8000.0,56518.0
143215,2.5,2.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,80.0,512.0,64.0,800.0,2.048,2.0,7200.0,2000.0,92097.0
143224,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,64.0,512.0,256.0,1800.0,8.08,3.0,7200.0,32000.0,256605.0
143230,3.2,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,384.0,1024.0,256.0,4008.0,3.326,3.0,7200.0,16000.0,120044.0
143245,2.66,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,240.0,1024.0,512.0,2484.0,16.384,3.0,7200.0,16000.0,342387.0
143252,2.66,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,128.0,1024.0,256.0,2000.0,1.016,1.0,7200.0,16000.0,209145.0
143255,3.5,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,1536.0,2048.0,256.0,6008.0,32.713,3.0,7200.0,64000.0,342951.0
143265,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,800.0,1024.0,128.0,4800.0,2.048,2.0,7200.0,16000.0,143308.0
143270,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,128.0,768.0,384.0,2160.0,5.12,2.0,7200.0,32000.0,137574.0
143276,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,192.0,1024.0,192.0,4104.0,16.320999999999998,3.0,7200.0,16000.0,306540.0
143277,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,768.0,1024.0,128.0,5400.0,8.135,3.0,7200.0,16000.0,305489.0
143282,3.33,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,40.0,256.0,64.0,1000.0,2.013,1.0,7200.0,16000.0,110299.0
143289,3.2,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,336.0,1024.0,256.0,3600.0,3.228,3.0,7200.0,16000.0,277906.0
143299,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,79543.0
143300,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,78183.0
143301,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,80100.0
143302,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,79382.0
143303,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,80793.0
143305,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5012.0,2.016,1.0,7200.0,8000.0,29907.0
143310,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,32.0,512.0,128.0,1600.0,4.095,2.0,7200.0,16000.0,102109.0
143315,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5012.0,2.016,1.0,7200.0,8000.0,33494.0
143316,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5012.0,2.016,1.0,7200.0,8000.0,33585.0
143317,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5012.0,2.016,1.0,7200.0,8000.0,33448.0
143318,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5012.0,2.016,1.0,7200.0,8000.0,33660.0
143320,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5200.0,1.984,1.0,7200.0,8000.0,33353.0
143321,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5200.0,1.984,1.0,7200.0,8000.0,33975.0
143322,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5200.0,1.984,1.0,7200.0,8000.0,33845.0
143324,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,79347.0
143325,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,44.0,256.0,256.0,1380.0,3.3280000000000003,2.0,7200.0,8000.0,77752.0
143327,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5200.0,1.984,1.0,7200.0,8000.0,33561.0
143328,2.0,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,8.0,256.0,64.0,800.0,2.046,2.0,5400.0,8000.0,78788.0
