name,clock,max_clock,core,thread,L2,L3,smart_cache
Intel(R) Celeron(R) CPU 215 @ 1.33GHz,1.33,,4,4,2000.0,,
Intel(R) Core(TM) i7-3960X CPU @ 3.30GHz,3.3,3.9,6,12,,,15000.0
mobile AMD Athlon(tm) XP-M (LV) 1600+,,,,,,,
AMD Athlon(tm) X2 Dual Core Processor BE-2400,,,,,,,
Mobile AMD Duron (tm),,,,,,,
AMD Athlon(tm) 64 FX-55 Processor,,,,,,,
Intel(R) Core(TM)2 CPU U7600 @ 1.20GHz,1.2,,2,2,2000.0,,
Quad-Core AMD Opteron(tm) Processor 2356,,,,,,,
Mobile Intel(R) Pentium(R) 4 CPU 2.80GHz,2.8,,1,1,512.0,,
Intel(R) Pentium(R) Dual CPU T3200 @ 2.00GHz,2.0,,2,2,1000.0,,
Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz,2.2,,2,4,,3000.0,
Intel(R) Xeon(R) CPU W5580 @ 3.20GHz,3.2,3.46,4,8,,,8000.0
Intel(R) Celeron(R) CPU 440 @ 2.00GHz,2.0,,1,1,512.0,,
AMD Opteron(tm) Processor 6174,,,,,,,
AMD Opteron(tm) Processor 144,,,,,,,
Intel(R) Core(TM)2 CPU 6700 @ 2.66GHz,2.66,,2,2,4000.0,,
Intel(R) Celeron(R) M CPU 440 @ 1.86GHz,1.86,,1,1,1000.0,,
AMD Turion(tm) X2 Ultra Dual-Core Mobile ZM-84,,,,,,,
Intel(R) Core(TM) i7-3540M CPU @ 3.00GHz,3.0,3.7,2,4,,,4000.0
AMD Athlon(tm) II X4 605e Processor,2.5,,4,,2000.0,,0
Genuine Intel(R) CPU T2050 @ 1.60GHz,1.6,,2,2,2000.0,,
Intel(R) Pentium(R) Dual CPU E2140 @ 1.60GHz,1.6,,2,2,1000.0,,
AMD Duron(TM)Processor,,,,,,,
AMD Opteron(tm) Processor 140,,,,,,,
Intel(R) Core(TM) CPU 230 @ 1.60GHz,1.6,,1,2,512.0,,
Pentium(R) Dual-Core CPU E6600 @ 3.06GHz,3.06,,2,2,,,2000.0
Intel(R) Core(TM)2 Quad CPU @ 2.40GHz,2.4,,4,4,8000.0,,
Intel(R) Core(TM)2 Extreme CPU Q9300 @ 2.53GHz,2.53,,4,4,12000.0,,
AMD Athlon(TM) MP 2800+,,,,,,,
