,id,capacity,generation
240,438,0.512,1
241,439,1.023,1
242,443,1.023,1
243,444,0.512,4
244,447,1.023,1
245,448,0.512,1
246,451,1.024,
247,453,1.023,1
248,455,0.512,1
249,457,0.512,1
250,458,0.255,0
251,461,1.024,1
252,464,1.024,1
253,466,0.256,1
254,472,1.024,1
255,474,1.024,1
256,475,0.511,
257,479,1.024,1
258,480,1.024,1
259,481,1.024,1
260,482,1.023,1
261,484,1.024,1
262,488,0.768,
263,489,1.023,1
264,491,0.512,1
265,492,0.512,
266,495,1.024,
267,496,0.767,1
268,497,1.024,
269,499,1.024,
270,500,0.512,1
271,501,0.512,1
272,503,0.768,1
273,504,1.024,1
274,505,0.512,1
275,506,1.023,1
276,507,1.024,1
277,508,0.512,1
278,509,1.024,1
279,511,1.024,1
280,512,0.512,1
281,513,1.023,1
282,515,0.512,1
283,516,0.512,1
284,517,0.512,1
285,518,1.024,1
286,519,0.512,1
287,520,0.512,1
288,521,0.512,
289,523,0.512,1
290,525,0.512,1
291,527,0.384,0
292,528,1.024,1
293,529,1.023,
294,534,1.024,1
295,537,0.256,1
296,538,1.023,1
297,540,0.768,1
298,541,0.511,
299,543,0.512,
300,545,1.024,1
301,547,0.511,1
302,548,0.48,1
303,549,1.023,1
304,550,0.512,1
305,552,0.512,
306,553,0.102,1
307,554,0.512,1
308,555,0.24,0
309,556,1.023,1
310,557,0.512,0
311,558,0.512,1
312,561,0.512,1
313,562,1.024,1
314,564,2.048,1
315,565,1.024,1
316,566,0.512,1
317,567,1.023,1
318,568,0.512,
319,569,1.023,1
320,571,0.512,1
321,572,0.512,1
322,573,0.512,1
323,574,1.023,1
324,575,1.024,
325,576,1.024,1
326,577,0.64,1
327,578,1.023,1
328,581,0.768,1
329,582,1.023,1
330,583,1.023,1
331,586,1.024,1
332,588,2.047,
333,589,2.047,
334,590,1.024,
335,592,2.047,
336,595,2.047,
337,596,0.512,1
338,598,0.768,1
339,601,0.512,1
340,604,0.512,1
341,605,0.512,1
342,606,0.512,0
343,607,1.024,1
344,609,1.023,1
345,610,0.512,1
346,611,0.512,0
347,612,1.023,1
348,614,0.495,1
349,616,0.512,
350,618,0.512,1
351,619,1.024,
352,620,1.023,1
353,621,0.512,
354,625,1.023,1
355,632,0.512,1
356,635,0.512,1
357,636,0.512,1
358,638,1.024,1
359,641,0.368,0
360,644,2.048,1
361,645,0.512,1
362,647,1.152,0
363,649,0.512,1
364,651,1.023,1
365,654,1.023,1
366,656,0.511,1
367,659,0.512,1
368,661,0.512,1
369,662,0.512,1
370,663,0.512,1
371,664,1.024,1
372,665,1.023,1
373,666,0.512,1
374,672,0.512,
375,673,0.512,1
376,674,1.023,1
377,675,1.024,1
378,676,0.512,1
379,678,1.024,1
380,680,0.512,1
381,681,0.512,0
382,682,1.016,0
383,683,0.512,1
384,685,1.024,1
385,689,1.024,1
386,690,1.024,1
387,692,1.024,
388,695,0.512,1
389,697,0.256,1
390,698,0.191,0
391,700,0.512,1
392,701,0.512,1
393,703,1.024,1
394,704,1.024,1
395,705,0.624,1
396,706,1.024,1
397,708,2.048,1
398,709,1.024,1
399,710,0.512,1
400,712,0.24,0
401,713,0.384,1
402,716,1.024,1
403,717,1.024,
404,720,0.512,1
405,722,0.767,
406,724,1.024,1
407,726,0.384,
408,727,1.023,1
409,729,0.512,1
410,730,2.047,1
411,732,1.024,1
412,733,2.047,
413,734,0.496,1
414,736,0.512,0
415,741,1.024,1
416,742,0.512,1
417,743,0.504,0
418,744,2.048,1
419,745,0.102,1
420,748,0.102,1
421,750,0.512,1
422,751,0.512,1
423,752,0.512,1
424,753,1.024,1
425,754,0.504,1
426,756,0.256,1
427,758,1.023,1
428,759,0.496,1
429,760,1.023,1
430,761,0.192,0
431,762,1.023,1
432,763,1.016,1
433,764,1.024,1
434,767,1.024,1
435,769,0.512,
436,770,0.512,1
437,771,2.048,1
438,772,0.512,1
439,773,1.024,
440,774,1.024,1
441,778,0.512,1
442,780,1.024,
443,781,0.512,1
444,782,0.512,1
445,783,0.511,
446,784,1.023,1
447,785,0.512,1
448,789,0.512,1
449,791,0.512,
450,793,1.023,1
451,794,1.024,1
452,795,1.023,1
453,796,1.023,1
454,798,0.768,1
455,800,0.512,1
456,801,2.048,1
457,802,2.048,1
458,803,1.024,1
459,805,1.023,1
460,806,1.024,1
461,807,1.024,1
462,810,1.024,1
463,811,1.024,1
464,815,0.766,
465,816,0.48,1
466,817,1.024,1
467,818,0.24,1
468,819,0.224,1
469,820,0.256,0
470,821,0.512,1
471,822,0.256,0
472,823,0.512,1
473,824,0.512,
474,825,0.256,1
475,826,1.024,0
476,827,0.512,1
477,829,1.024,1
478,830,1.023,1
479,831,0.631,1
480,832,0.511,1
481,834,0.512,1
482,835,0.256,1
483,837,0.496,1
484,838,1.024,0
485,844,0.384,0
486,845,1.023,1
487,846,1.023,1
488,847,0.512,1
489,848,0.256,1
490,852,1.024,1
491,853,0.447,1
492,855,1.024,1
493,856,0.512,1
494,858,0.511,1
495,859,0.512,1
496,862,0.512,1
497,863,0.496,0
498,864,0.51,0
499,866,2.047,1
500,869,1.024,1
501,871,1.024,1
502,873,1.023,
503,875,0.512,1
504,876,0.512,1
505,877,0.512,1
