,0,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
45,46,MSI Radeon RX 5700 MECH OC [PCIExp 8GB],https://kakaku.com/item/K0001185030/,AMD RadeonRX5700,AMD,2304.0,8000.0,256.0,14000.0,PCIExpress4.0x16,38999.0
46,47,ZOTAC ZOTAC GAMING GeForce RTX 2070 SUPER MINI ZT-T20710E-10M [PCIExp 8GB],https://kakaku.com/item/K0001193284/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0x16,58867.0
47,48,MSI Radeon RX 5500 XT MECH 4G OC [PCIExp 4GB],https://kakaku.com/item/K0001219749/,AMD RadeonRX5500XT,AMD,1408.0,4000.0,128.0,14000.0,PCIExpress4.0,22000.0
48,49,MSI GeForce RTX 2070 SUPER VENTUS OC [PCIExp 8GB],https://kakaku.com/item/K0001174639/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0x16,61908.0
49,50,MSI GTX 1050 Ti 4GT LP [PCIExp 4GB],https://kakaku.com/item/K0000929966/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7008.0,PCIExpress3.0x16,13178.0
50,51,MSI GeForce GTX 1650 GAMING X 4G [PCIExp 4GB],https://kakaku.com/item/K0001152735/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8000.0,PCIExpress3.0x16,17590.0
51,52,Palit Microsystems NE6165S018G1-166F (GeForce GTX 1650 SUPER StormX 4GB) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001214579/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4000.0,128.0,12000.0,PCIExpress3.0x16,19800.0
52,53,玄人志向 RD-RX5500XT-E8GB [PCIExp 8GB],https://kakaku.com/item/K0001219866/,AMD RadeonRX5500XT,AMD,1408.0,8000.0,128.0,14000.0,PCIExpress4.0x8,24725.0
53,54,ZOTAC ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 ZT-T16610F-10L [PCIExp 6GB],https://kakaku.com/item/K0001133234/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6000.0,192.0,12000.0,PCIExpress3.0x16,30580.0
54,56,SAPPHIRE SAPPHIRE PULSE RADEON RX 570 8G GDDR5 [PCIExp 8GB],https://kakaku.com/item/K0001031607/,AMD RadeonRX570,AMD,2048.0,8000.0,256.0,7000.0,PCIExpress3.0x16,18678.0
55,57,ASRock Phantom Gaming X Radeon RX590 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001114651/,AMD RadeonRX590,AMD,2304.0,8000.0,256.0,8000.0,PCIExpress3.0x16,21978.0
56,58,ASRock Radeon RX 5500 XT Challenger D 4G OC [PCIExp 4GB],https://kakaku.com/item/K0001219745/,AMD RadeonRX5500XT,AMD,1408.0,4000.0,128.0,14000.0,PCIExpress4.0x8,22000.0
57,59,GIGABYTE AORUS GV-N208TAORUSX WB-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113733/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14140.0,PCIExpress3.0x16,196538.0
58,60,GIGABYTE GV-N1650OC-4GD [PCIExp 4GB],https://kakaku.com/item/K0001152724/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8002.000000000001,PCIExpress3.0x16,17050.0
59,61,ASUS ROG-STRIX-RTX2080TI-O11G-WHITE-GAMING [PCIExp 11GB],https://kakaku.com/item/K0001221069/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14800.0,PCIExpress3.0,208800.0
60,62,ZOTAC ZOTAC GAMING GeForce RTX 2060 SUPER MINI ZT-T20610E-10M [PCIExp 8GB],https://kakaku.com/item/K0001174640/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8000.0,256.0,14000.0,PCIExpress3.0x16,45980.0
61,63,玄人志向 GF-GT710-E1GB/HS [PCIExp 1GB],https://kakaku.com/item/K0001127556/,NVIDIA GeForceGT710,NVIDIA,192.0,1000.0,64.0,1000.0,PCIExpress2.0x16,3280.0
62,64,MSI GeForce RTX 2060 VENTUS XS 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001140150/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6000.0,192.0,14000.0,PCIExpress3.0x16,38408.0
63,66,GIGABYTE GV-R57GAMING OC-8GD [PCIExp 8GB],https://kakaku.com/item/K0001186003/,AMD RadeonRX5700,AMD,2304.0,8000.0,256.0,14000.0,PCIExpress4.0x16,39800.0
64,67,MSI GeForce RTX 2070 SUPER GAMING X TRIO [PCIExp 8GB],https://kakaku.com/item/K0001187167/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0x16,69827.0
65,68,GIGABYTE GV-N166SOC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001206483/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6000.0,192.0,14000.0,PCIExpress3.0x16,28145.0
66,69,MSI GT 710 2GD3H LP [PCIExp 2GB],https://kakaku.com/item/K0000849552/,NVIDIA GeForceGT710,NVIDIA,192.0,2000.0,64.0,1600.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,4290.0
67,70,MSI GeForce GTX 1650 SUPER VENTUS XS OC [PCIExp 4GB],https://kakaku.com/item/K0001214541/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4000.0,128.0,12000.0,PCIExpress3.0x16,21171.0
68,71,玄人志向 GALAKURO GAMING GG-RTX2060SP-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001173225/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8000.0,256.0,14000.0,PCIExpress3.0x16,44800.0
69,72,ASUS ROG-STRIX-RTX2080TI-O11G-GAMING [PCIExp 11GB],https://kakaku.com/item/K0001103647/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14000.0,PCIExpress3.0,162799.0
70,73,GIGABYTE AORUS GV-N208TAORUS X-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113735/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14140.0,PCIExpress3.0x16,178107.0
71,74,玄人志向 GF-GT710-E1GB/LP/P [PCIExp 1GB],https://kakaku.com/item/K0001205037/,NVIDIA GeForceGT710,NVIDIA,192.0,1000.0,64.0,5000.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3380.0
72,75,MSI GeForce RTX 2080 SUPER VENTUS XS OC [PCIExp 8GB],https://kakaku.com/item/K0001205631/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8000.0,256.0,15500.0,PCIExpress3.0x16,85850.0
73,76,MSI GeForce RTX 2080 SUPER GAMING X TRIO [PCIExp 8GB],https://kakaku.com/item/K0001180626/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8000.0,256.0,15500.0,PCIExpress3.0x16,98978.0
74,77,SAPPHIRE SAPPHIRE PULSE RADEON RX 550 2G GDDR5 HDMI/DVI-D/DP (UEFI) V2 [PCIExp 2GB],https://kakaku.com/item/K0001213716/,AMD RadeonRX550,AMD,640.0,2000.0,128.0,6000.0,PCIExpress3.0x16,9570.0
75,78,ASUS PH-GTX1660TI-O6G [PCIExp 6GB],https://kakaku.com/item/K0001133237/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6000.0,192.0,12002.0,PCIExpress3.0,29678.0
76,79,玄人志向 GALAKURO GK-RTX2070SP-E8GB/WHITE/TP [PCIExp 8GB],https://kakaku.com/item/K0001188363/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0x16,60478.0
77,80,玄人志向 GALAKURO GAMING GG-RTX2080SP-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001176804/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8000.0,256.0,15500.0,PCIExpress3.0x16,83380.0
78,81,ASUS ROG-STRIX-RX5700XT-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001188519/,AMD RadeonRX5700XT,AMD,2560.0,8000.0,256.0,14000.0,PCIExpress4.0,53502.0
79,82,ASUS TUF 3-GTX1660S-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001206484/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6000.0,192.0,14002.0,PCIExpress3.0,30281.0
80,83,XFX RX-57XT8OFF6 [PCIExp 8GB],https://kakaku.com/item/K0001181914/,AMD RadeonRX5700XT,AMD,2560.0,8000.0,256.0,14000.0,PCIExpress4.0x16,48378.0
81,84,Palit Microsystems NE6206ST19P2-1061J (GeForce RTX2060 SUPER JS 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001173639/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8000.0,256.0,14000.0,PCIExpress3.0x16,49280.0
82,85,SAPPHIRE SAPPHIRE PULSE RADEON RX 570 8G GDDR5 DUAL HDMI/DUAL DP OC W/BP (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001125314/,AMD RadeonRX570,AMD,2048.0,8000.0,256.0,7000.0,PCIExpress3.0x16,19059.0
83,86,MSI GeForce GTX 1660 Ti GAMING X 6G [PCIExp 6GB],https://kakaku.com/item/K0001133999/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6000.0,192.0,12000.0,PCIExpress3.0x16,41580.0
84,87,Palit Microsystems NE6166S018J9-161F (GeForce GTX1660 SUPER StormX) [PCIExp 6GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001207177/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6000.0,192.0,14000.0,PCIExpress3.0x16,25980.0
85,88,MSI GeForce RTX 2070 SUPER GAMING Z TRIO [PCIExp 8GB],https://kakaku.com/item/K0001217730/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,15500.0,PCIExpress3.0x16,79750.0
86,89,玄人志向 GALAKURO GAMING GG-GTX1660-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001171866/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6000.0,192.0,8000.0,PCIExpress3.0x16,24728.0
87,90,Palit Microsystems NE6166SS18J9-1160A (GeForce GTX 1660 SUPER GP OC) [PCIExp 6GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001207176/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6000.0,192.0,14000.0,PCIExpress3.0x16,27680.0
88,91,PowerColor PowerColor Red Devil Radeon RX 570 4GB GDDR5 AXRX 570 4GBD5-3DH/OC [PCIExp 4GB],https://kakaku.com/item/K0000960164/,AMD RadeonRX570,AMD,2048.0,4000.0,256.0,1750.0,PCIExpress3.0x16,19032.0
89,92,ZOTAC ZOTAC GAMING GeForce RTX 2070 SUPER Twin Fan ZT-T20710F-10P [PCIExp 8GB],https://kakaku.com/item/K0001174641/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0x16,59800.0
90,94,ASUS PH-RTX2060-6G [PCIExp 6GB],https://kakaku.com/item/K0001137644/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6000.0,192.0,14000.0,PCIExpress3.0,34800.0
91,95,ASUS ROG-STRIX-GTX1660TI-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001133238/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6000.0,192.0,12002.0,PCIExpress3.0,37398.0
92,96,ZOTAC ZOTAC GAMING GeForce GTX 1650 Low Profile ZT-T16500H-10L [PCIExp 4GB],https://kakaku.com/item/K0001175955/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8000.0,PCIExpress3.0x16,19483.0
93,97,Palit Microsystems NE5105T018G1-1070H (GeForce GTX1050Ti 4GB KalmX) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000943628/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,3500.0,PCIExpressx16,16628.0
94,98,MSI Radeon RX 5500 XT MECH 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001219748/,AMD RadeonRX5500XT,AMD,1408.0,8000.0,128.0,14000.0,PCIExpress4.0,27499.0
95,99,ASRock Radeon RX 5700 XT Taichi X 8G OC+ [PCIExp 8GB],https://kakaku.com/item/K0001198118/,AMD RadeonRX5700XT,AMD,2560.0,8000.0,256.0,14000.0,PCIExpress4.0x16,58800.0
96,100,ASUS DUAL-RTX2080S-8G-EVO-V2 (Dual GeForce RTX 2080 SUPER EVO V2 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001219055/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8000.0,256.0,15500.0,PCIExpress3.0x16,83930.0
97,101,MSI GeForce RTX 2060 AERO ITX 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001120299/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6000.0,192.0,14000.0,PCIExpress3.0x16,35979.0
98,102,ASRock Radeon RX 5700 Challenger D 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001186913/,AMD RadeonRX5700,AMD,2304.0,8000.0,256.0,14000.0,PCIExpress4.0x16,39980.0
99,103,ASUS DUAL-RTX2070S-O8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001178058/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0,62189.0
100,104,ASUS TUF-GTX1660-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001140064/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6000.0,192.0,8002.000000000001,PCIExpress3.0,25231.0
101,105,GIGABYTE AORUS GV-N207SAORUS-8GC [PCIExp 8GB],https://kakaku.com/item/K0001173220/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,14000.0,PCIExpress3.0x16,73516.0
102,106,玄人志向 GF-GT1030-E2GB/LP/D5 [PCIExp 2GB],https://kakaku.com/item/K0001145788/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6008.0,PCIExpress3.0x4 接続スロット：PCI-Expressx16,9022.0
103,107,ELSA ELSA GeForce GTX 1650 SP GD1650-4GERSP [PCIExp 4GB],https://kakaku.com/item/K0001183314/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8000.0,PCIExpress3.0x16,23299.0
104,108,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5500 XT 8G GDDR6 DUAL HDMI/DUAL DP OC W/BP (UEFI) SPECIAL EDITION [PCIExp 8GB],https://kakaku.com/item/K0001220536/,AMD RadeonRX5500XT,AMD,1408.0,8000.0,128.0,14400.0,PCIExpress4.0x8 接続スロット：PCIExpressx16,32534.0
105,109,GIGABYTE AORUS GV-N208TAORUSX W-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113734/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14140.0,PCIExpress3.0x16,188585.0
106,110,Palit Microsystems NE5103000646-1080F (GeForce GT 1030 2GB LP) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000967476/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6000.0,PCIExpress3.0x16,8514.0
107,111,GIGABYTE GV-N1030D5-2GL [PCIExp 2GB],https://kakaku.com/item/K0000965885/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6008.0,PCIExpress3.0x16,9540.0
108,112,MSI GeForce GTX 1650 SUPER AERO ITX OC [PCIExp 4GB],https://kakaku.com/item/K0001214542/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4000.0,128.0,12000.0,PCIExpress3.0x16,21477.0
109,113,ASUS GTX1650-O4G-LP-BRK [PCIExp 4GB],https://kakaku.com/item/K0001187538/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8002.000000000001,PCIExpress3.0,20538.0
110,114,GIGABYTE GV-N1660OC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001140144/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6000.0,192.0,8002.000000000001,PCIExpress3.0x16,25278.0
