,0,name,url,processor_name,maker,type,clock,max_clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
56,258,インテル Core i9 7980XE Extreme Edition BOX,https://kakaku.com/item/K0001008610/,Corei97980XE (Skylake-X),インテル,LGA2066,2.6,4.2,18.0,36.0,0.0,0.0,1.0,24750.0,0.0,0.0,166980.0
57,286,インテル Xeon Gold 6240 BOX,https://kakaku.com/item/K0001159364/,XeonGold6240 (CascadeLake-SP),インテル,LGA3647,2.6,3.9,18.0,36.0,0.0,0.0,1.0,25000.0,0.0,0.0,311980.0
58,113,インテル Core i5 6400 BOX,https://kakaku.com/item/K0000808343/,Corei56400 (Skylake),インテル,LGA1151,2.7,3.3,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,22622.0
59,190,インテル Xeon E5-4650 BOX,https://kakaku.com/item/K0000377263/,XeonE5-4650,インテル,LGA2011,2.7,3.3,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,856949.0
60,296,インテル Xeon W-3265 バルク,https://kakaku.com/item/K0001211653/,XeonW-3265 (CascadeLake),インテル,LGA3647,2.7,4.6,24.0,48.0,0.0,0.0,1.0,33000.0,0.0,0.0,434380.0
61,133,インテル Celeron Dual-Core G3900 BOX,https://kakaku.com/item/K0000857596/,CeleronDual-CoreG3900 (Skylake),インテル,LGA1151,2.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,6780.0
62,102,インテル Core i5 7600T BOX,https://kakaku.com/item/K0000933411/,Corei57600T (KabyLake-S),インテル,LGA1151,2.8,3.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,33089.0
63,33,インテル Core i5 8400 BOX,https://kakaku.com/item/K0001002087/,Corei58400 (CoffeeLake-S),インテル,LGA1151,2.8,4.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,21480.0
64,251,インテル Core i9 7960X BOX,https://kakaku.com/item/K0001008609/,Corei97960X (Skylake-X),インテル,LGA2066,2.8,4.2,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,142780.0
65,67,インテル Celeron Dual-Core G3930 BOX,https://kakaku.com/item/K0000933431/,CeleronDual-CoreG3930 (KabyLake-S),インテル,LGA1151,2.9,0.0,2.0,2.0,0.0,0.0,1.0,2000.0,0.0,0.0,5752.0
66,122,インテル Core i7 7700T BOX,https://kakaku.com/item/K0000933077/,Corei77700T (KabyLake-S),インテル,LGA1151,2.9,3.8,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,51041.0
67,3,インテル Core i5 9400F BOX,https://kakaku.com/item/K0001126893/,Corei59400F (CoffeeLake-SRefresh),インテル,LGA1151,2.9,4.1,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,17277.0
68,294,インテル Xeon E5-4617 BOX,https://kakaku.com/item/K0000377271/,XeonE5-4617,インテル,LGA2011,2.9,3.4,6.0,6.0,0.0,0.0,0.0,0.0,1.0,15000.0,392738.0
69,12,インテル Core i5 9400 BOX,https://kakaku.com/item/K0001158576/,Corei59400 (CoffeeLake-SRefresh),インテル,LGA1151,2.9,4.1,6.0,6.0,0.0,0.0,1.0,9000.0,0.0,0.0,22110.0
70,166,インテル Core i9 7920X BOX,https://kakaku.com/item/K0000995578/,Corei97920X (Skylake-X),インテル,LGA2066,2.9,4.3,12.0,24.0,0.0,0.0,1.0,16500.0,0.0,0.0,99880.0
71,95,インテル Celeron Dual-Core G3950 BOX,https://kakaku.com/item/K0000936003/,CeleronDual-CoreG3950 (KabyLake-S),インテル,LGA1151,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,6428.0
72,85,インテル Core i5 7400 BOX,https://kakaku.com/item/K0000933081/,Corei57400 (KabyLake-S),インテル,LGA1151,3.0,3.5,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,22800.0
73,205,インテル Xeon E3-1220 v6 BOX,https://kakaku.com/item/K0000957608/,XeonE3-1220V6 (KabyLake-S),インテル,LGA1151,3.0,3.5,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,25260.0
74,63,インテル Core i5 8500 BOX,https://kakaku.com/item/K0001045049/,Corei58500 (CoffeeLake-S),インテル,LGA1151,3.0,4.1,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,23314.0
