,0,name,url,processor_name,maker,type,clock,max_clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
110,116,インテル Core i3 7300 BOX,https://kakaku.com/item/K0000933417/,Corei37300 (KabyLake-S),インテル,LGA1151,4.0,0.0,2.0,4.0,0.0,0.0,1.0,4000.0,0.0,0.0,19644.0
111,117,インテル Core i3 7300T BOX,https://kakaku.com/item/K0000933421/,Corei37300T (KabyLake-S),インテル,LGA1151,3.5,0.0,2.0,4.0,0.0,0.0,1.0,4000.0,0.0,0.0,19724.0
112,118,インテル Xeon E3-1225 v6 BOX,https://kakaku.com/item/K0000957607/,XeonE3-1225V6 (KabyLake-S),インテル,LGA1151,3.3,3.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,29469.0
113,119,インテル Core i5 7600K BOX,https://kakaku.com/item/K0000932817/,Corei57600K (KabyLake-S),インテル,LGA1151,3.8,4.2,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,32389.0
114,120,インテル Xeon E3-1230 v6 BOX,https://kakaku.com/item/K0000957610/,XeonE3-1230V6 (KabyLake-S),インテル,LGA1151,3.5,3.9,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,32389.0
115,121,インテル Xeon E-2136 BOX,https://kakaku.com/item/K0001130766/,XeonE-2136 (CoffeeLake),インテル,LGA1151,3.3,4.5,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,37729.0
116,122,インテル Core i7 3770 バルク,https://kakaku.com/item/K0000368068/,Corei73770,インテル,LGA1155,3.4,3.9,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,37980.0
117,123,インテル Xeon E-2146G BOX,https://kakaku.com/item/K0001130770/,XeonE-2146G (CoffeeLake),インテル,LGA1151,3.5,4.5,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,41359.0
118,124,インテル Xeon E5-2620 v4 BOX,https://kakaku.com/item/K0000869929/,XeonE5-2620V4 (Broadwell-EP),インテル,LGA2011-3,2.1,3.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,50723.0
119,125,インテル Xeon W-3223 バルク,https://kakaku.com/item/K0001211658/,XeonW-3223 (CascadeLake),インテル,LGA3647,3.5,4.2,8.0,16.0,0.0,0.0,1.0,16500.0,0.0,0.0,102959.0
