,capacity_sum,generation,PRICE
590,16.0,4.0,10609.0
591,16.0,3.0,10650.0
592,16.0,4.0,10745.0
593,16.0,3.0,10776.0
594,16.0,4.0,11219.0
595,16.0,4.0,11247.0
596,16.0,4.0,11360.0
597,16.0,4.0,11380.0
598,16.0,4.0,11621.0
599,16.0,4.0,12199.0
600,16.0,4.0,12349.0
601,16.0,4.0,12408.0
602,32.0,4.0,12500.0
603,16.0,4.0,12500.0
604,0.256,0.0,13289.0
605,16.0,4.0,13360.0
606,32.0,4.0,13700.0
607,16.0,4.0,13981.0
608,16.0,4.0,14278.0
609,16.0,4.0,14320.0
610,32.0,4.0,14380.0
611,16.0,3.0,15920.0
612,32.0,3.0,16083.0
613,32.0,3.0,16200.0
614,32.0,4.0,16276.0
615,16.0,4.0,16700.0
616,32.0,3.0,16720.0
617,16.0,4.0,16800.0
618,16.0,4.0,16800.0
619,16.0,4.0,16848.0
620,32.0,4.0,16900.0
621,16.0,4.0,17091.0
622,32.0,4.0,17240.0
623,8.0,4.0,17288.0
624,32.0,3.0,17458.0
625,32.0,4.0,17920.0
626,32.0,4.0,17980.0
627,32.0,4.0,18914.0
628,32.0,4.0,19008.0
629,32.0,4.0,19383.0
630,32.0,3.0,19484.0
631,16.0,4.0,19952.0
632,32.0,4.0,19980.0
633,32.0,4.0,20100.0
634,16.0,4.0,20240.0
635,16.0,4.0,20350.0
636,32.0,4.0,20510.0
637,16.0,4.0,20600.0
638,32.0,4.0,20666.0
639,32.0,4.0,21420.0
640,32.0,4.0,21600.0
641,8.0,2.0,21800.0
642,32.0,4.0,22300.0
643,32.0,4.0,22580.0
644,32.0,4.0,22760.0
645,16.0,4.0,22980.0
646,16.0,4.0,23405.0
647,32.0,4.0,24190.0
648,32.0,4.0,24200.0
649,16.0,4.0,24310.0
650,64.0,4.0,24500.0
651,16.0,4.0,24630.0
652,16.0,4.0,25190.0
653,32.0,4.0,25350.0
654,32.0,4.0,26483.0
655,32.0,4.0,27310.0
656,16.0,4.0,27826.0
657,32.0,4.0,28800.0
658,32.0,4.0,28960.0
659,32.0,4.0,29900.0
660,64.0,4.0,29980.0
661,32.0,4.0,30362.0
662,64.0,4.0,31000.0
663,32.0,4.0,31200.0
664,64.0,4.0,31600.0
665,16.0,4.0,33400.0
666,64.0,4.0,33500.0
667,32.0,4.0,33700.0
668,32.0,4.0,34300.0
669,32.0,4.0,34337.0
670,64.0,4.0,34470.0
671,64.0,4.0,35105.0
672,64.0,4.0,36400.0
673,64.0,4.0,36677.0
674,64.0,4.0,39027.0
675,64.0,4.0,39736.0
676,64.0,4.0,39765.0
677,64.0,4.0,40200.0
678,64.0,4.0,40200.0
679,32.0,4.0,44528.0
680,64.0,4.0,45919.0
681,64.0,4.0,46800.0
682,64.0,4.0,46850.0
683,32.0,4.0,49800.0
684,128.0,4.0,56700.0
685,128.0,4.0,57200.0
686,32.0,4.0,62300.0
687,32.0,4.0,65500.0
688,64.0,4.0,67100.0
689,64.0,4.0,70136.0
690,64.0,4.0,73980.0
691,64.0,4.0,78100.0
692,64.0,4.0,82300.0
693,128.0,4.0,85847.0
694,0.512,2.0,451.0
695,1.0,2.0,500.0
696,1.0,2.0,530.0
697,1.0,2.0,590.0
698,2.0,3.0,1015.0
699,2.0,3.0,1029.0
700,0.512,1.0,1102.0
701,2.0,2.0,1250.0
702,2.0,2.0,1270.0
703,1.0,1.0,1480.0
704,2.0,3.0,1510.0
705,4.0,3.0,1640.0
706,2.0,3.0,1701.0
707,2.0,3.0,1701.0
708,2.0,3.0,1701.0
709,4.0,4.0,2000.0
710,2.0,3.0,2017.0
711,2.0,3.0,2020.0
712,4.0,3.0,2170.0
713,1.0,1.0,2180.0
714,4.0,4.0,2200.0
715,4.0,4.0,2200.0
716,4.0,3.0,2330.0
717,2.0,3.0,2380.0
718,4.0,3.0,2420.0
719,1.0,3.0,2500.0
720,4.0,3.0,2520.0
721,2.0,3.0,2645.0
722,4.0,4.0,2660.0
723,4.0,4.0,2680.0
724,2.0,3.0,2693.0
725,4.0,3.0,2750.0
726,2.0,3.0,2763.0
727,4.0,3.0,2779.0
728,4.0,4.0,2780.0
729,4.0,4.0,2780.0
730,4.0,3.0,2832.0
731,1.0,3.0,2910.0
732,4.0,4.0,2970.0
733,4.0,3.0,2980.0
734,4.0,3.0,2995.0
735,4.0,3.0,3100.0
736,4.0,4.0,3103.0
737,4.0,4.0,3160.0
738,4.0,3.0,3260.0
739,0.512,1.0,3278.0
740,4.0,4.0,3280.0
741,8.0,3.0,3286.0
742,4.0,3.0,3290.0
743,2.0,2.0,3300.0
744,8.0,3.0,3314.0
745,8.0,3.0,3332.0
746,4.0,3.0,3410.0
747,8.0,4.0,3500.0
748,4.0,4.0,3510.0
749,4.0,3.0,3572.0
750,4.0,3.0,3587.0
751,4.0,3.0,3590.0
752,8.0,4.0,3670.0
753,4.0,4.0,3670.0
754,8.0,3.0,3740.0
755,8.0,4.0,3780.0
756,8.0,3.0,3780.0
757,8.0,4.0,3869.0
758,2.0,2.0,3938.0
759,0.064,0.0,4019.0
760,4.0,3.0,4054.0
761,4.0,3.0,4054.0
762,8.0,4.0,4100.0
763,4.0,3.0,4160.0
764,4.0,4.0,4168.0
765,1.0,1.0,4237.0
766,8.0,3.0,4300.0
767,4.0,3.0,4391.0
768,4.0,3.0,4400.0
769,4.0,3.0,4482.0
770,4.0,4.0,4560.0
771,8.0,4.0,4565.0
772,4.0,3.0,4570.0
773,6.0,3.0,4600.0
774,8.0,4.0,4640.0
775,4.0,4.0,4664.0
776,4.0,4.0,4664.0
777,8.0,3.0,4680.0
778,4.0,3.0,4747.0
779,8.0,4.0,4760.0
780,8.0,4.0,4780.0
781,8.0,3.0,4840.0
782,8.0,4.0,4899.0
783,8.0,3.0,4930.0
784,8.0,3.0,4950.0
785,4.0,3.0,4968.0
786,8.0,3.0,4980.0
787,4.0,3.0,5012.0
788,8.0,3.0,5033.0
789,8.0,4.0,5042.0
790,8.0,4.0,5060.0
792,8.0,4.0,5080.0
793,1.0,1.0,5100.0
794,8.0,3.0,5130.0
795,4.0,3.0,5141.0
796,4.0,3.0,5233.0
797,8.0,3.0,5326.0
798,8.0,4.0,5335.0
799,8.0,3.0,5470.0
800,8.0,3.0,5470.0
801,8.0,4.0,5476.0
802,8.0,3.0,5477.0
803,8.0,3.0,5500.0
804,8.0,4.0,5530.0
805,8.0,4.0,5555.0
806,4.0,3.0,5565.0
807,8.0,4.0,5571.0
808,8.0,4.0,5571.0
809,8.0,3.0,5620.0
810,8.0,3.0,5620.0
811,8.0,4.0,5631.0
812,8.0,4.0,5631.0
813,8.0,4.0,5660.0
814,8.0,3.0,5696.0
815,8.0,4.0,5760.0
816,8.0,3.0,5930.0
817,8.0,4.0,5938.0
818,8.0,4.0,5938.0
819,8.0,3.0,6025.0
820,8.0,3.0,6100.0
821,8.0,3.0,6105.0
822,8.0,3.0,6105.0
823,8.0,3.0,6120.0
824,4.0,4.0,6140.0
825,8.0,4.0,6210.0
826,4.0,4.0,6210.0
827,8.0,4.0,6220.0
828,8.0,4.0,6326.0
829,8.0,4.0,6352.0
830,1.0,1.0,6362.0
831,8.0,3.0,6435.0
832,8.0,3.0,6522.0
833,16.0,3.0,6529.0
834,16.0,3.0,6529.0
835,8.0,4.0,6680.0
836,8.0,4.0,6790.0
837,8.0,4.0,6804.0
838,4.0,3.0,6864.0
839,16.0,4.0,6900.0
840,2.0,3.0,7001.0
841,4.0,3.0,7109.0
842,16.0,4.0,7180.0
843,8.0,3.0,7282.0
844,2.0,2.0,7387.0
845,8.0,4.0,7465.0
846,4.0,3.0,7625.0
847,16.0,3.0,7631.0
848,8.0,4.0,7680.0
849,16.0,4.0,7680.0
850,8.0,3.0,7728.0
851,8.0,4.0,7750.0
852,16.0,4.0,7780.0
853,16.0,4.0,7780.0
854,4.0,2.0,8085.0
855,8.0,3.0,8130.0
856,8.0,4.0,8158.0
857,16.0,4.0,8200.0
858,8.0,4.0,8226.0
859,4.0,2.0,8280.0
860,16.0,3.0,8300.0
861,16.0,4.0,8300.0
862,8.0,3.0,8380.0
863,8.0,3.0,8430.0
864,8.0,3.0,8545.0
865,16.0,4.0,8600.0
866,16.0,4.0,8620.0
867,16.0,4.0,8700.0
868,16.0,3.0,8780.0
869,4.0,4.0,8843.0
870,16.0,4.0,8857.0
871,16.0,4.0,8880.0
872,8.0,4.0,8921.0
873,16.0,4.0,8980.0
874,16.0,4.0,8980.0
875,16.0,4.0,8980.0
876,16.0,4.0,8980.0
877,16.0,4.0,9110.0
878,16.0,4.0,9133.0
879,4.0,3.0,9196.0
880,16.0,3.0,9270.0
881,16.0,3.0,9300.0
882,16.0,3.0,9405.0
883,16.0,4.0,9480.0
884,16.0,4.0,9490.0
885,12.0,3.0,9500.0
886,8.0,3.0,9509.0
887,16.0,4.0,9564.0
888,16.0,4.0,9600.0
889,16.0,3.0,9658.0
890,16.0,4.0,9686.0
891,16.0,3.0,9735.0
892,16.0,4.0,9850.0
893,8.0,4.0,9921.0
894,16.0,4.0,9980.0
895,16.0,4.0,9980.0
896,16.0,4.0,9980.0
897,16.0,4.0,10073.0
898,8.0,4.0,10081.0
899,16.0,3.0,10100.0
900,16.0,4.0,10110.0
901,16.0,3.0,10150.0
902,16.0,4.0,10260.0
903,16.0,3.0,10300.0
904,16.0,4.0,10310.0
905,8.0,3.0,10312.0
906,16.0,4.0,10480.0
907,16.0,3.0,10500.0
908,16.0,3.0,10500.0
909,16.0,3.0,10776.0
910,16.0,4.0,10909.0
911,16.0,4.0,11050.0
912,16.0,4.0,11050.0
913,16.0,4.0,11196.0
914,16.0,3.0,11249.0
915,8.0,3.0,11300.0
916,16.0,4.0,11300.0
917,16.0,4.0,11358.0
918,8.0,3.0,11446.0
919,16.0,4.0,11528.0
920,16.0,4.0,11621.0
921,16.0,4.0,11621.0
922,16.0,4.0,11650.0
923,16.0,4.0,11927.0
924,8.0,4.0,11934.0
925,16.0,4.0,11979.0
926,16.0,4.0,11979.0
927,16.0,4.0,11980.0
928,16.0,4.0,12078.0
929,16.0,4.0,12155.0
930,16.0,4.0,12202.0
