0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
475,トランセンド TS1TMTE110S,https://kakaku.com/item/K0001121789/,1000.0,1700.0,1500.0,M.2(Type2280),PCI-Express,3DNAND,3.58mm,13800
476,ロジテック 【直販モデル】 LMD-SA960,https://kakaku.com/item/K0001193143/,960.0,550.0,490.0,2.5インチ,SerialATA6Gb/s,0,7mm,14410
477,IODATA GigaCrysta E.A.G.L SSD-GC512M2,https://kakaku.com/item/K0001204460/,512.0,3430.0,2230.0,M.2(Type2280),PCI-Express,0,7.5mm,14493
478,インテル SSD 545s SSDSCKKW512G8X1,https://kakaku.com/item/K0001106126/,512.0,550.0,500.0,M.2(Type2280),SerialATA6Gb/s,3DTLC,0,15317
479,エレコム ESD-EJ1000GBK [ブラック],https://kakaku.com/item/K0001214598/,1000.0,400.0,320.0,0,USB,0,0,15442
481,サムスン 860 EVO M.2 MZ-N6E1T0B/IT,https://kakaku.com/item/K0001027996/,1000.0,550.0,520.0,M.2(Type2280),SerialATA6Gb/s,V-NAND3bitMLC,2.38mm,18312
482,キングストン SSDNow mS200 Drive SMS200S3/240G,https://kakaku.com/item/K0000657974/,240.0,540.0,530.0,mSATA,SerialATA6Gb/s,0,0,19403
483,トランセンド TS960GESD250C [スペースグレー],https://kakaku.com/item/K0001141172/,960.0,520.0,460.0,0,USB,3DNAND,0,19480
484,Corsair Force Series MP300 CSSD-F960GBMP300,https://kakaku.com/item/K0001076920/,960.0,1600.0,1080.0,M.2(Type2280),PCI-Express,3DTLCNAND,0,21255
485,トランセンド JetDrive 500 TS480GJDM500,https://kakaku.com/item/K0000680350/,480.0,570.0,460.0,0,SerialATA6Gb/s,MLC,0,24800
486,インテル Optane SSD 800P SSDPEK1W120GA01,https://kakaku.com/item/K0001048948/,118.0,1450.0,640.0,M.2(Type2280),PCI-Express,3DXpoint,0,25410
489,PLEXTOR M9Pe(Y) PX-1TM9PeY,https://kakaku.com/item/K0001024375/,1000.0,3200.0,2100.0,0,PCI-Express,BiCS33DTLC,22.39mm,29517
490,トランセンド JetDrive 820 TS960GJDM820,https://kakaku.com/item/K0000999663/,960.0,950.0,950.0,0,PCI-Express,3DTLC,0.8mm,29808
491,GIGABYTE AORUS GP-ASACNE2100TTTDR,https://kakaku.com/item/K0001169090/,1000.0,3480.0,3080.0,0,PCI-Express,3DTLC,21.6mm,30927
