0,read_speed,write_speed,PRICE
934,560.0,530.0,39949
935,119.0,93.0,40770
936,500.0,500.0,41060
937,250.0,70.0,41638
939,450.0,450.0,43780
940,560.0,510.0,44148
942,570.0,460.0,45980
943,570.0,460.0,45980
944,570.0,460.0,45980
945,1500.0,1000.0,46590
946,450.0,450.0,47304
947,530.0,510.0,47366
948,530.0,510.0,47822
949,550.0,510.0,50578
950,425.0,425.0,51106
951,2500.0,2000.0,51150
952,2500.0,2000.0,51150
953,850.0,850.0,51772
956,540.0,520.0,55440
957,560.0,460.0,57119
960,279.44,251.03,59800
961,410.0,400.0,61754
964,500.0,490.0,66534
965,560.0,510.0,67178
966,520.0,500.0,67780
967,570.0,470.0,72319
968,560.0,560.0,72360
969,1500.0,1000.0,74480
970,2800.0,2300.0,76349
971,530.0,510.0,78408
972,2500.0,2000.0,79420
973,550.0,520.0,81989
974,425.0,425.0,94364
975,763.0,616.0,94380
976,3500.0,3000.0,96177
977,264.77,240.7,107800
978,450.0,450.0,122346
979,500.0,490.0,129678
980,140.0,18.0,140032
981,2800.0,2300.0,150211
982,80.0,50.0,156720
983,80.0,50.0,156720
984,410.0,380.0,180902
986,2500.0,1200.0,209530
987,2400.0,2000.0,235427
989,270.0,200.0,293500
