0,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
208,3.1,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,28261.0
209,3.5,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,28269.0
211,3.5,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,29920.0
212,3.1,4.0,4.0,0.0,0.0,1.0,4000.0,0.0,0.0,32267.0
214,3.5,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,32999.0
216,3.5,4.0,8.0,0.0,0.0,1.0,10000.0,0.0,0.0,35445.0
217,3.4,6.0,6.0,0.0,0.0,0.0,0.0,1.0,12000.0,36000.0
219,3.7,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,36959.0
221,1.7,8.0,8.0,0.0,0.0,1.0,11000.0,0.0,0.0,37949.0
223,3.8,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,42575.0
224,3.3,4.0,8.0,0.0,0.0,1.0,6000.0,0.0,0.0,43780.0
225,3.6,4.0,8.0,0.0,0.0,1.0,8250.0,0.0,0.0,47303.0
228,3.5,6.0,12.0,0.0,0.0,1.0,8250.0,0.0,0.0,49824.0
229,1.8,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,52760.0
230,3.5,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,54000.0
233,2.1,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,64800.0
235,2.6,4.0,8.0,0.0,0.0,1.0,8250.0,0.0,0.0,74249.0
236,3.6,6.0,12.0,0.0,0.0,1.0,15000.0,0.0,0.0,77204.0
237,2.4,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,87987.0
238,2.4,10.0,20.0,0.0,0.0,0.0,0.0,1.0,15000.0,96580.0
241,3.3,10.0,20.0,0.0,0.0,1.0,13750.0,0.0,0.0,115499.0
242,3.1,14.0,28.0,0.0,0.0,1.0,19250.0,0.0,0.0,117480.0
243,3.7,6.0,12.0,0.0,0.0,1.0,8250.0,0.0,0.0,118799.0
244,2.1,12.0,24.0,0.0,0.0,1.0,16500.0,0.0,0.0,124290.0
245,2.1,12.0,24.0,0.0,0.0,1.0,16500.0,0.0,0.0,126093.0
246,2.1,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,126590.0
250,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,10000.0,142679.0
251,2.8,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,142780.0
252,2.2,12.0,24.0,0.0,0.0,0.0,0.0,1.0,30000.0,148499.0
254,3.7,8.0,16.0,0.0,0.0,1.0,16500.0,0.0,0.0,159490.0
255,3.7,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,159839.0
256,2.3,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,160880.0
258,2.5,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,169800.0
260,2.5,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,180735.0
262,2.2,14.0,28.0,0.0,0.0,1.0,19250.0,0.0,0.0,185790.0
263,3.3,10.0,20.0,0.0,0.0,1.0,13750.0,0.0,0.0,188783.0
264,2.4,16.0,32.0,0.0,0.0,1.0,64000.0,0.0,0.0,197999.0
267,3.4,6.0,12.0,0.0,0.0,1.0,19250.0,0.0,0.0,205990.0
269,2.2,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,227688.0
270,2.1,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,229890.0
272,2.1,20.0,40.0,0.0,0.0,1.0,28000.0,0.0,0.0,238678.0
273,3.0,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,240099.0
274,3.3,4.0,8.0,0.0,0.0,0.0,0.0,1.0,10000.0,242667.0
275,2.6,14.0,28.0,0.0,0.0,0.0,0.0,1.0,35000.0,259599.0
276,3.2,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,263990.0
277,2.5,14.0,28.0,0.0,0.0,1.0,19000.0,0.0,0.0,264815.0
279,3.2,8.0,16.0,0.0,0.0,1.0,24750.0,0.0,0.0,267790.0
280,3.1,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,270242.0
281,2.4,6.0,12.0,0.0,0.0,0.0,0.0,1.0,15000.0,270838.0
283,3.3,8.0,16.0,0.0,0.0,1.0,24750.0,0.0,0.0,282350.0
284,1.8,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,294004.0
285,2.3,18.0,36.0,0.0,0.0,1.0,24750.0,0.0,0.0,299890.0
286,2.1,18.0,36.0,0.0,0.0,0.0,0.0,1.0,45000.0,299969.0
287,2.0,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,311299.0
288,2.8,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,313478.0
289,2.0,20.0,40.0,0.0,0.0,1.0,27500.0,0.0,0.0,321990.0
290,2.1,22.0,44.0,0.0,0.0,1.0,30250.0,0.0,0.0,329590.0
291,2.0,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,329999.0
292,2.3,18.0,36.0,0.0,0.0,0.0,0.0,1.0,40000.0,338799.0
293,2.6,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,360990.0
294,2.3,18.0,36.0,0.0,0.0,1.0,24750.0,0.0,0.0,369359.0
295,2.4,20.0,40.0,0.0,0.0,1.0,27500.0,0.0,0.0,378990.0
296,2.5,20.0,40.0,0.0,0.0,1.0,28000.0,0.0,0.0,381678.0
297,2.9,6.0,6.0,0.0,0.0,0.0,0.0,1.0,15000.0,391872.0
298,2.2,8.0,16.0,0.0,0.0,0.0,0.0,1.0,16000.0,392107.0
299,2.3,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,426689.0
300,2.7,24.0,48.0,0.0,0.0,1.0,33000.0,0.0,0.0,434380.0
301,2.1,24.0,48.0,0.0,0.0,1.0,36000.0,0.0,0.0,458980.0
302,2.0,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,532069.0
303,2.1,24.0,48.0,0.0,0.0,1.0,33000.0,0.0,0.0,572990.0
304,2.0,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,581899.0
305,2.4,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,634990.0
306,3.2,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,648990.0
307,2.0,26.0,52.0,0.0,0.0,1.0,35750.0,0.0,0.0,747990.0
308,2.7,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,854986.0
309,2.1,26.0,52.0,0.0,0.0,1.0,35750.0,0.0,0.0,903900.0
310,2.1,28.0,56.0,0.0,0.0,1.0,38500.0,0.0,0.0,1064900.0
