,0,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
54,1,MSI Radeon RX 580 ARMOR 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001132779/,AMD RadeonRX580,AMD,2304.0,8000.0,256.0,8000.0,PCIExpress3.0x16,18616.0
55,497,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 590 8G GDDR5 OC W/BP (UEFI) AMD 50TH ANNIVERSARY EDITION [PCIExp 8GB],https://kakaku.com/item/K0001152737/,AMD RadeonRX590,AMD,2304.0,8000.0,256.0,8400.0,PCIExpress3.0x16,34480.0
56,41,SAPPHIRE SAPPHIRE PULSE RADEON RX 5700 8G GDDR6 HDMI/TRIPLE DP OC W/BP (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001184413/,AMD RadeonRX5700,AMD,2304.0,8000.0,256.0,14000.0,PCIExpress4.0x16,38178.0
57,537,GIGABYTE AORUS GV-N2070AORUS X-8GC [PCIExp 8GB],https://kakaku.com/item/K0001098510/,NVIDIA GeForceRTX2070,NVIDIA,2304.0,8000.0,256.0,14142.0,PCIExpress3.0x16,83283.0
58,521,Colorful GTX1070Ti Twin [PCIExp 8GB],https://kakaku.com/item/K0001054364/,NVIDIA GeForceGTX1070Ti,NVIDIA,2432.0,8000.0,256.0,8000.0,PCIExpress3.0x16,58119.0
59,528,MSI GTX 1070 Ti ARMOR 8G [PCIExp 8GB],https://kakaku.com/item/K0001010818/,NVIDIA GeForceGTX1070Ti,NVIDIA,2432.0,8000.0,256.0,8007.999999999999,PCIExpress3.0x16,68200.0
60,2,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5700 XT 8G GDDR6 DUAL HDMI/DUAL DP OC (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001195293/,AMD RadeonRX5700XT,AMD,2560.0,8000.0,256.0,14000.0,PCIExpress4.0x16,45890.0
61,171,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5700 XT 8G GDDR6 DUAL HDMI/DUAL DP OC (UEFI) SPECIAL EDITION [PCIExp 8GB],https://kakaku.com/item/K0001214543/,AMD RadeonRX5700XT,AMD,2560.0,8000.0,256.0,14400.0,PCIExpress4.0x16,65780.0
62,88,MSI GeForce RTX 2070 SUPER GAMING Z TRIO [PCIExp 8GB],https://kakaku.com/item/K0001217730/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8000.0,256.0,15500.0,PCIExpress3.0x16,79750.0
63,231,ZOTAC ZOTAC GAMING GeForce RTX 2080 ZT-T20800G-10P [PCIExp 8GB],https://kakaku.com/item/K0001138276/,NVIDIA GeForceRTX2080,NVIDIA,2944.0,8000.0,256.0,14000.0,PCIExpress3.0x16,76978.0
64,406,GIGABYTE AORUS GV-N2080AORUS X-8GC [PCIExp 8GB],https://kakaku.com/item/K0001096667/,NVIDIA GeForceRTX2080,NVIDIA,2944.0,8000.0,256.0,14140.0,PCIExpress3.0x16,109796.0
65,172,ZOTAC ZOTAC GAMING GeForce RTX 2080 AMP Extreme ZT-T20800B-10P [PCIExp 8GB],https://kakaku.com/item/K0001119514/,NVIDIA GeForceRTX2080,NVIDIA,2944.0,8000.0,256.0,14400.0,PCIExpress3.0,79444.0
66,22,ZOTAC ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan ZT-T20820F-10P [PCIExp 8GB],https://kakaku.com/item/K0001176807/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8000.0,256.0,15500.0,PCIExpress3.0x16,78101.0
67,229,ASUS ROG-STRIX-RXVEGA56-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001026807/,AMD RadeonRXVega56,AMD,3584.0,8000.0,2048.0,800.0,PCIExpress3.0,59197.0
68,291,Colorful iGame GTX1080Ti Vulcan AD [PCIExp 11GB],https://kakaku.com/item/K0000991678/,NVIDIA GeForceGTX1080Ti,NVIDIA,3584.0,11000.0,352.0,11000.0,PCIExpress3.0x16,99880.0
69,118,PowerColor PowerColor Radeon VII 16GB HBM2 AXVII 16GBHBM2-3DH [PCIExp 16GB],https://kakaku.com/item/K0001128284/,AMD RadeonVII,AMD,3840.0,16000.0,4096.0,1000.0,PCIExpress3.0,97598.0
70,16,MSI Radeon RX Vega 64 Air Boost 8G [PCIExp 8GB],https://kakaku.com/item/K0001216734/,AMD RadeonRXVega64,AMD,4096.0,8000.0,2048.0,945.0,PCIExpressx16,29980.0
71,230,SAPPHIRE SAPPHIRE NITRO+ RADEON RX VEGA 64 DUAL HDMI/DUAL DP (UEFI) SAP-VEGA64NITROV2/11275-03-40G [PCIExp 8GB],https://kakaku.com/item/K0001140831/,AMD RadeonRXVega64,AMD,4096.0,8000.0,2048.0,1900.0,PCIExpress3.0x16,60048.0
72,119,玄人志向 GALAKURO GAMING GG-RTX2080Ti-E11GB/TP [PCIExp 11GB],https://kakaku.com/item/K0001171864/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14000.0,PCIExpress3.0x16,131470.0
73,73,GIGABYTE AORUS GV-N208TAORUS X-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113735/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14140.0,PCIExpress3.0x16,178107.0
74,232,ZOTAC ZOTAC GAMING GeForce RTX 2080 Ti AMP Extreme ZT-T20810B-10P [PCIExp 11GB],https://kakaku.com/item/K0001135566/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14400.0,PCIExpress3.0x16,180873.0
75,61,ASUS ROG-STRIX-RTX2080TI-O11G-WHITE-GAMING [PCIExp 11GB],https://kakaku.com/item/K0001221069/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11000.0,352.0,14800.0,PCIExpress3.0,208800.0
